Time,T° 600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
17:04:16,30.2,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.093,0.099,0.097,0.091,0.09,0.08,0.08,0.094,0.095,0.093,0.093,0.093,0.098,0.094,0.097,0.099,0.092,0.08,0.081,0.093,0.094,0.093,0.093,0.092,0.092,0.096,0.097,0.098,0.097,0.078,0.08,0.094,0.092,0.091,0.094,0.094,0.097,0.098,0.097,0.1,0.1,0.077,0.083,0.091,0.094,0.091,0.093,0.092,0.09,0.099,0.096,0.089,0.089,0.08,0.079,0.093,0.09,0.093,0.09,0.089,0.089,0.087,0.1,0.103,0.101,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
17:09:16,30.2,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.093,0.099,0.098,0.091,0.09,0.08,0.08,0.094,0.095,0.092,0.094,0.094,0.097,0.094,0.097,0.099,0.092,0.08,0.081,0.093,0.094,0.092,0.093,0.092,0.093,0.096,0.098,0.099,0.097,0.078,0.08,0.094,0.092,0.091,0.094,0.094,0.098,0.098,0.097,0.101,0.1,0.077,0.083,0.091,0.094,0.092,0.093,0.092,0.09,0.099,0.096,0.089,0.089,0.08,0.079,0.092,0.09,0.093,0.091,0.089,0.089,0.088,0.1,0.103,0.101,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.079,0.081,0.08,0.08,0.078,0.08
17:14:16,30.2,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.093,0.099,0.098,0.091,0.091,0.08,0.08,0.094,0.095,0.093,0.094,0.094,0.098,0.094,0.097,0.099,0.092,0.08,0.081,0.093,0.094,0.092,0.093,0.091,0.093,0.097,0.097,0.098,0.097,0.078,0.08,0.094,0.092,0.091,0.094,0.095,0.098,0.098,0.097,0.1,0.1,0.077,0.083,0.091,0.093,0.092,0.093,0.092,0.09,0.098,0.096,0.09,0.089,0.08,0.079,0.093,0.09,0.093,0.091,0.09,0.089,0.088,0.1,0.103,0.101,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
17:19:16,30.2,0.079,0.08,0.081,0.08,0.079,0.081,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.093,0.099,0.098,0.091,0.091,0.08,0.08,0.094,0.095,0.093,0.094,0.094,0.097,0.094,0.097,0.099,0.092,0.08,0.081,0.093,0.094,0.092,0.093,0.091,0.093,0.097,0.098,0.098,0.097,0.078,0.08,0.094,0.093,0.091,0.094,0.095,0.098,0.098,0.097,0.1,0.1,0.077,0.084,0.091,0.094,0.092,0.094,0.091,0.09,0.098,0.096,0.09,0.089,0.08,0.079,0.093,0.09,0.093,0.091,0.09,0.089,0.088,0.1,0.103,0.101,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.081,0.078,0.08
17:24:16,30.2,0.079,0.08,0.081,0.08,0.079,0.081,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.096,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.091,0.08,0.08,0.094,0.095,0.092,0.093,0.094,0.097,0.094,0.097,0.098,0.092,0.08,0.081,0.093,0.094,0.092,0.093,0.091,0.093,0.096,0.097,0.098,0.097,0.078,0.079,0.095,0.093,0.091,0.094,0.094,0.098,0.098,0.097,0.1,0.099,0.077,0.083,0.091,0.094,0.091,0.093,0.091,0.09,0.098,0.096,0.089,0.089,0.08,0.079,0.092,0.09,0.093,0.091,0.089,0.088,0.088,0.1,0.102,0.101,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.08,0.08,0.08,0.078,0.08
17:29:16,30.2,0.079,0.08,0.081,0.08,0.079,0.081,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.096,0.093,0.093,0.094,0.093,0.099,0.097,0.091,0.091,0.08,0.08,0.094,0.094,0.093,0.094,0.094,0.098,0.093,0.097,0.098,0.092,0.08,0.081,0.093,0.093,0.093,0.093,0.091,0.093,0.096,0.097,0.098,0.097,0.078,0.08,0.095,0.093,0.091,0.094,0.095,0.098,0.098,0.096,0.1,0.099,0.077,0.083,0.091,0.093,0.092,0.093,0.092,0.09,0.099,0.096,0.09,0.089,0.08,0.079,0.093,0.09,0.093,0.09,0.09,0.089,0.088,0.1,0.102,0.101,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
17:34:16,30.1,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.093,0.099,0.098,0.091,0.09,0.08,0.08,0.094,0.095,0.093,0.093,0.094,0.097,0.094,0.097,0.098,0.092,0.08,0.081,0.093,0.094,0.093,0.093,0.091,0.093,0.096,0.098,0.098,0.097,0.078,0.079,0.094,0.093,0.091,0.094,0.094,0.098,0.098,0.097,0.1,0.099,0.077,0.083,0.091,0.093,0.092,0.093,0.092,0.09,0.098,0.096,0.09,0.089,0.08,0.079,0.093,0.091,0.093,0.091,0.09,0.089,0.088,0.1,0.102,0.101,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.081,0.078,0.08
17:39:16,30.2,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.096,0.093,0.093,0.094,0.093,0.098,0.098,0.091,0.091,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.098,0.094,0.097,0.099,0.092,0.08,0.081,0.093,0.093,0.092,0.094,0.091,0.093,0.096,0.097,0.098,0.097,0.078,0.079,0.095,0.093,0.091,0.094,0.094,0.098,0.098,0.096,0.1,0.099,0.077,0.083,0.091,0.093,0.092,0.093,0.092,0.09,0.098,0.096,0.09,0.089,0.08,0.079,0.093,0.09,0.093,0.091,0.09,0.089,0.088,0.1,0.103,0.101,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
17:44:16,30.1,0.079,0.08,0.081,0.08,0.079,0.08,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.09,0.079,0.08,0.094,0.094,0.092,0.093,0.093,0.098,0.093,0.097,0.098,0.092,0.08,0.081,0.092,0.093,0.092,0.093,0.091,0.093,0.096,0.097,0.098,0.097,0.078,0.079,0.094,0.092,0.091,0.094,0.094,0.097,0.098,0.096,0.1,0.099,0.077,0.083,0.091,0.093,0.091,0.093,0.092,0.09,0.098,0.096,0.089,0.089,0.079,0.079,0.092,0.09,0.093,0.09,0.089,0.089,0.088,0.1,0.102,0.101,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
17:49:16,30.1,0.079,0.08,0.081,0.08,0.079,0.081,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.094,0.098,0.098,0.091,0.091,0.08,0.08,0.094,0.095,0.093,0.093,0.094,0.098,0.094,0.097,0.098,0.092,0.08,0.081,0.092,0.094,0.092,0.093,0.091,0.093,0.096,0.097,0.098,0.097,0.078,0.079,0.095,0.093,0.091,0.095,0.094,0.097,0.098,0.096,0.1,0.099,0.078,0.083,0.091,0.093,0.092,0.093,0.092,0.09,0.098,0.096,0.089,0.089,0.079,0.079,0.092,0.09,0.093,0.091,0.09,0.089,0.088,0.1,0.102,0.1,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.081,0.078,0.08
17:54:16,30.2,0.079,0.08,0.081,0.08,0.079,0.081,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.093,0.098,0.098,0.091,0.091,0.08,0.08,0.094,0.094,0.093,0.093,0.094,0.097,0.094,0.097,0.098,0.092,0.08,0.081,0.093,0.094,0.092,0.093,0.091,0.093,0.096,0.097,0.098,0.097,0.078,0.079,0.094,0.093,0.091,0.094,0.095,0.098,0.098,0.097,0.1,0.099,0.077,0.084,0.091,0.093,0.092,0.093,0.092,0.09,0.098,0.096,0.089,0.089,0.08,0.079,0.092,0.09,0.093,0.091,0.089,0.089,0.088,0.1,0.102,0.1,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
17:59:16,30.1,0.079,0.08,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.09,0.08,0.08,0.094,0.095,0.093,0.093,0.093,0.097,0.094,0.097,0.098,0.092,0.08,0.081,0.092,0.094,0.092,0.093,0.091,0.093,0.096,0.097,0.098,0.097,0.078,0.079,0.094,0.093,0.091,0.094,0.094,0.098,0.098,0.096,0.1,0.099,0.077,0.084,0.091,0.094,0.092,0.092,0.092,0.09,0.098,0.096,0.089,0.089,0.079,0.079,0.093,0.09,0.093,0.09,0.089,0.089,0.088,0.1,0.102,0.1,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
18:04:16,30.1,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.09,0.08,0.08,0.094,0.094,0.093,0.094,0.094,0.097,0.093,0.097,0.099,0.092,0.08,0.081,0.092,0.094,0.092,0.093,0.091,0.093,0.096,0.097,0.098,0.097,0.078,0.079,0.094,0.092,0.091,0.094,0.094,0.098,0.098,0.096,0.1,0.099,0.078,0.084,0.091,0.094,0.092,0.093,0.092,0.09,0.098,0.096,0.089,0.089,0.079,0.079,0.093,0.091,0.093,0.091,0.09,0.089,0.088,0.1,0.102,0.1,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
18:09:16,30.2,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.093,0.099,0.098,0.091,0.09,0.08,0.08,0.094,0.095,0.093,0.093,0.093,0.097,0.094,0.097,0.098,0.092,0.08,0.081,0.092,0.094,0.093,0.093,0.091,0.092,0.097,0.097,0.098,0.097,0.078,0.079,0.094,0.092,0.091,0.094,0.095,0.097,0.098,0.096,0.1,0.099,0.077,0.083,0.091,0.093,0.091,0.093,0.092,0.09,0.098,0.096,0.09,0.089,0.08,0.079,0.092,0.09,0.093,0.091,0.09,0.089,0.088,0.1,0.102,0.1,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
18:14:16,30.2,0.079,0.08,0.081,0.08,0.079,0.081,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.09,0.08,0.08,0.094,0.094,0.093,0.093,0.093,0.097,0.094,0.097,0.098,0.092,0.08,0.081,0.092,0.094,0.092,0.093,0.091,0.093,0.096,0.097,0.098,0.097,0.078,0.079,0.094,0.092,0.091,0.094,0.094,0.097,0.098,0.096,0.1,0.099,0.077,0.083,0.091,0.094,0.091,0.093,0.092,0.09,0.098,0.096,0.089,0.089,0.079,0.079,0.092,0.09,0.093,0.09,0.09,0.089,0.088,0.1,0.102,0.1,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.08,0.08,0.08,0.078,0.08
18:19:16,30.1,0.079,0.08,0.081,0.08,0.079,0.081,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.093,0.099,0.097,0.091,0.09,0.08,0.08,0.094,0.094,0.092,0.094,0.094,0.097,0.094,0.097,0.098,0.092,0.08,0.081,0.092,0.094,0.093,0.093,0.091,0.092,0.097,0.097,0.098,0.097,0.078,0.079,0.094,0.092,0.091,0.094,0.094,0.097,0.098,0.096,0.1,0.099,0.077,0.083,0.091,0.093,0.091,0.093,0.091,0.09,0.098,0.096,0.089,0.089,0.08,0.079,0.092,0.09,0.093,0.091,0.09,0.089,0.088,0.099,0.102,0.1,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
18:24:16,30.1,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.096,0.093,0.093,0.094,0.093,0.099,0.098,0.091,0.091,0.08,0.08,0.094,0.095,0.093,0.093,0.094,0.098,0.094,0.097,0.098,0.092,0.08,0.081,0.092,0.093,0.093,0.093,0.091,0.092,0.096,0.097,0.098,0.097,0.078,0.079,0.094,0.093,0.091,0.095,0.094,0.097,0.098,0.096,0.1,0.099,0.077,0.083,0.091,0.094,0.092,0.093,0.092,0.09,0.098,0.096,0.09,0.089,0.08,0.079,0.093,0.09,0.093,0.09,0.09,0.089,0.088,0.099,0.102,0.1,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.081,0.078,0.08
18:29:16,30.1,0.079,0.08,0.081,0.08,0.079,0.08,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.093,0.098,0.098,0.091,0.091,0.08,0.08,0.093,0.095,0.093,0.093,0.093,0.097,0.094,0.097,0.098,0.092,0.08,0.081,0.092,0.094,0.092,0.093,0.091,0.093,0.096,0.097,0.098,0.097,0.078,0.079,0.094,0.092,0.092,0.094,0.094,0.097,0.098,0.096,0.1,0.099,0.077,0.083,0.091,0.093,0.091,0.092,0.092,0.09,0.098,0.096,0.089,0.089,0.08,0.079,0.093,0.09,0.093,0.09,0.089,0.09,0.089,0.1,0.102,0.1,0.077,0.081,0.078,0.079,0.08,0.079,0.083,0.078,0.081,0.08,0.08,0.078,0.08
18:34:16,30.1,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.091,0.08,0.08,0.094,0.095,0.093,0.093,0.094,0.097,0.094,0.097,0.098,0.092,0.08,0.081,0.093,0.093,0.092,0.093,0.092,0.093,0.096,0.097,0.098,0.097,0.078,0.079,0.094,0.093,0.091,0.094,0.095,0.098,0.098,0.096,0.1,0.099,0.077,0.084,0.091,0.093,0.091,0.093,0.091,0.09,0.098,0.096,0.09,0.089,0.08,0.079,0.093,0.09,0.093,0.09,0.089,0.089,0.088,0.1,0.102,0.1,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.081,0.078,0.08
18:39:16,30.1,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.091,0.08,0.08,0.094,0.095,0.092,0.093,0.093,0.097,0.094,0.097,0.098,0.092,0.08,0.081,0.092,0.094,0.092,0.093,0.092,0.093,0.096,0.097,0.098,0.096,0.078,0.079,0.094,0.092,0.091,0.094,0.094,0.097,0.098,0.096,0.1,0.099,0.077,0.084,0.091,0.094,0.091,0.093,0.092,0.09,0.098,0.096,0.09,0.089,0.08,0.079,0.093,0.09,0.093,0.091,0.089,0.089,0.088,0.099,0.102,0.1,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
18:44:16,30.2,0.079,0.079,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.096,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.09,0.08,0.08,0.094,0.095,0.092,0.093,0.094,0.097,0.093,0.097,0.098,0.092,0.08,0.081,0.092,0.093,0.092,0.093,0.092,0.092,0.095,0.096,0.098,0.096,0.078,0.08,0.094,0.093,0.091,0.094,0.095,0.097,0.098,0.096,0.1,0.099,0.077,0.083,0.091,0.093,0.091,0.093,0.092,0.09,0.098,0.096,0.089,0.089,0.08,0.079,0.093,0.091,0.093,0.091,0.09,0.088,0.088,0.099,0.102,0.1,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
18:49:16,30.2,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.09,0.08,0.08,0.094,0.095,0.093,0.093,0.094,0.097,0.094,0.097,0.098,0.092,0.08,0.081,0.092,0.093,0.092,0.093,0.091,0.093,0.096,0.096,0.098,0.096,0.078,0.079,0.094,0.093,0.091,0.094,0.094,0.097,0.098,0.096,0.1,0.098,0.077,0.084,0.091,0.094,0.091,0.093,0.091,0.09,0.098,0.095,0.09,0.089,0.08,0.079,0.093,0.09,0.093,0.091,0.089,0.089,0.088,0.099,0.102,0.1,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
18:54:16,30.2,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.096,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.09,0.079,0.08,0.094,0.095,0.093,0.093,0.093,0.097,0.094,0.097,0.098,0.092,0.08,0.081,0.092,0.094,0.092,0.093,0.091,0.092,0.096,0.097,0.098,0.096,0.078,0.079,0.094,0.092,0.091,0.094,0.094,0.097,0.098,0.096,0.1,0.099,0.077,0.083,0.091,0.093,0.091,0.093,0.092,0.089,0.098,0.096,0.09,0.089,0.08,0.079,0.093,0.09,0.092,0.09,0.089,0.089,0.088,0.099,0.102,0.1,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
18:59:16,30.1,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.09,0.08,0.08,0.094,0.095,0.092,0.093,0.094,0.097,0.094,0.097,0.098,0.092,0.08,0.081,0.092,0.093,0.092,0.093,0.092,0.092,0.096,0.097,0.098,0.096,0.078,0.079,0.094,0.092,0.092,0.094,0.094,0.097,0.098,0.096,0.1,0.099,0.078,0.083,0.091,0.093,0.091,0.092,0.092,0.09,0.098,0.095,0.089,0.089,0.08,0.079,0.092,0.09,0.093,0.09,0.09,0.089,0.088,0.099,0.102,0.1,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
19:04:16,30.1,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.096,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.09,0.08,0.08,0.094,0.094,0.093,0.093,0.093,0.097,0.094,0.096,0.098,0.092,0.08,0.081,0.092,0.094,0.092,0.093,0.092,0.093,0.096,0.097,0.098,0.096,0.078,0.08,0.094,0.092,0.091,0.094,0.095,0.097,0.097,0.096,0.1,0.099,0.077,0.084,0.091,0.093,0.091,0.093,0.092,0.09,0.098,0.095,0.089,0.089,0.08,0.079,0.093,0.09,0.093,0.091,0.09,0.089,0.088,0.099,0.102,0.099,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.081,0.078,0.08
19:09:16,30.1,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.096,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.091,0.08,0.08,0.094,0.095,0.092,0.093,0.094,0.097,0.094,0.096,0.098,0.092,0.08,0.081,0.092,0.093,0.092,0.093,0.092,0.093,0.096,0.097,0.098,0.096,0.078,0.08,0.094,0.092,0.091,0.094,0.094,0.097,0.098,0.096,0.1,0.098,0.077,0.083,0.091,0.093,0.092,0.093,0.091,0.09,0.098,0.096,0.09,0.089,0.08,0.079,0.092,0.09,0.093,0.09,0.09,0.089,0.088,0.099,0.102,0.1,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.079,0.081,0.08,0.081,0.078,0.08
19:14:16,30.1,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.096,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.09,0.08,0.08,0.094,0.095,0.093,0.093,0.094,0.097,0.094,0.097,0.098,0.092,0.08,0.081,0.092,0.093,0.092,0.093,0.092,0.092,0.096,0.097,0.098,0.096,0.078,0.08,0.095,0.092,0.091,0.094,0.094,0.097,0.097,0.096,0.1,0.098,0.077,0.084,0.091,0.094,0.092,0.093,0.092,0.09,0.098,0.096,0.09,0.089,0.08,0.079,0.092,0.09,0.093,0.091,0.089,0.089,0.088,0.099,0.102,0.099,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.08,0.08,0.08,0.078,0.08
19:19:16,30.1,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.096,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.091,0.08,0.08,0.094,0.095,0.093,0.093,0.094,0.097,0.094,0.097,0.098,0.092,0.08,0.081,0.092,0.093,0.092,0.093,0.092,0.092,0.096,0.096,0.098,0.096,0.078,0.079,0.094,0.092,0.092,0.094,0.094,0.097,0.098,0.096,0.1,0.099,0.077,0.083,0.091,0.094,0.092,0.093,0.091,0.09,0.098,0.096,0.09,0.089,0.08,0.079,0.093,0.09,0.093,0.09,0.09,0.089,0.088,0.099,0.101,0.099,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
19:24:16,30.1,0.079,0.08,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.096,0.093,0.093,0.094,0.093,0.099,0.097,0.091,0.09,0.08,0.08,0.093,0.094,0.093,0.093,0.093,0.097,0.094,0.097,0.098,0.092,0.08,0.081,0.092,0.093,0.092,0.093,0.091,0.093,0.096,0.097,0.098,0.096,0.078,0.079,0.094,0.093,0.09,0.094,0.094,0.097,0.097,0.096,0.1,0.098,0.077,0.083,0.091,0.094,0.092,0.093,0.092,0.09,0.098,0.095,0.089,0.089,0.08,0.079,0.092,0.091,0.093,0.091,0.09,0.089,0.088,0.099,0.101,0.099,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
19:29:16,30.1,0.079,0.08,0.081,0.08,0.079,0.08,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.092,0.098,0.097,0.091,0.09,0.08,0.08,0.094,0.094,0.092,0.093,0.093,0.097,0.093,0.097,0.098,0.092,0.08,0.081,0.092,0.093,0.092,0.093,0.091,0.092,0.096,0.096,0.098,0.096,0.078,0.079,0.095,0.092,0.091,0.094,0.094,0.097,0.097,0.096,0.1,0.098,0.077,0.083,0.091,0.093,0.092,0.093,0.092,0.09,0.098,0.095,0.089,0.089,0.08,0.079,0.093,0.09,0.093,0.09,0.09,0.089,0.088,0.099,0.102,0.099,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
19:34:16,30.1,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.096,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.091,0.08,0.08,0.094,0.095,0.092,0.093,0.093,0.097,0.093,0.097,0.098,0.092,0.08,0.081,0.092,0.093,0.091,0.093,0.091,0.092,0.095,0.096,0.098,0.096,0.078,0.08,0.094,0.092,0.092,0.094,0.094,0.097,0.097,0.096,0.1,0.098,0.077,0.083,0.091,0.093,0.091,0.093,0.092,0.09,0.098,0.096,0.09,0.089,0.08,0.079,0.093,0.09,0.093,0.091,0.09,0.089,0.088,0.099,0.101,0.099,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
19:39:16,30.2,0.079,0.079,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.095,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.09,0.08,0.08,0.093,0.094,0.093,0.093,0.093,0.097,0.094,0.096,0.098,0.092,0.08,0.081,0.092,0.093,0.092,0.093,0.091,0.092,0.096,0.096,0.098,0.096,0.078,0.079,0.094,0.092,0.091,0.095,0.094,0.097,0.097,0.096,0.1,0.099,0.078,0.084,0.091,0.093,0.091,0.092,0.091,0.09,0.098,0.095,0.089,0.089,0.079,0.079,0.093,0.09,0.092,0.091,0.09,0.089,0.088,0.099,0.101,0.099,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
19:44:16,30.2,0.079,0.08,0.081,0.08,0.079,0.081,0.078,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.096,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.091,0.08,0.08,0.094,0.095,0.092,0.093,0.093,0.097,0.093,0.096,0.098,0.092,0.08,0.081,0.092,0.093,0.092,0.093,0.092,0.092,0.096,0.097,0.098,0.096,0.078,0.08,0.094,0.092,0.091,0.094,0.094,0.097,0.097,0.096,0.1,0.098,0.077,0.083,0.091,0.094,0.091,0.093,0.092,0.09,0.098,0.095,0.09,0.089,0.08,0.079,0.093,0.09,0.093,0.091,0.09,0.089,0.088,0.099,0.101,0.099,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
19:49:16,30.1,0.079,0.08,0.081,0.08,0.079,0.08,0.077,0.08,0.08,0.079,0.079,0.08,0.08,0.093,0.096,0.093,0.093,0.094,0.093,0.098,0.097,0.091,0.09,0.08,0.08,0.094,0.095,0.092,0.093,0.094,0.097,0.094,0.097,0.098,0.092,0.08,0.081,0.092,0.094,0.092,0.093,0.092,0.092,0.096,0.097,0.098,0.096,0.078,0.079,0.095,0.092,0.091,0.094,0.094,0.097,0.097,0.096,0.1,0.098,0.077,0.083,0.091,0.093,0.091,0.093,0.092,0.09,0.098,0.095,0.089,0.089,0.08,0.079,0.093,0.09,0.093,0.091,0.089,0.089,0.088,0.099,0.101,0.099,0.077,0.081,0.078,0.079,0.08,0.079,0.082,0.078,0.081,0.08,0.08,0.078,0.08
